id_hog,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_4,n_menores_5_14,n_nna,n_menores_18,n_personas_15_65,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,NSE,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region_ord,glosa_region,prop_ing_hogar,teletrabaja,jornada_laboral,cae,ocup_form,cise,ciuo_agrupada,bs1,bs2,bs3,bs4,bs5,bs6,bs7,bs8,bs9,bs10,bs11,bs12,bs13,bs14,bs15,bs16,bs17,bs18,bs19,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_t_hogar,ing_t_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,I,t_paid_work,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,Tw,Tf_social,Tf_hobbies,Tf_read,Tf_listen,Tf_watch,Tf_computer,Tc_meals,Tc_sleep,Tc_other,t_tcnr_0_4,t_tcnr_5_14,t_tcnr_nna,t_tcnr_15_65,t_tcnr_66,t_tcnr_psdf,t_total,temp,w,savings,total_expenses,Ef_food,Ef_recreation,Ef_restaurants,Ef_communications,Ef_clothing,Ec_cuentas,Ec_hogar,Ec_salud,Ec_transporte,Ec_educacion
00001-1,00001-1-01,1,1,3,6,1,0,1,1,1,3,3,3,2,1,2,0,4,40,1,1,1,0,0,0,0,63,45-65,2,primaria,0,1,48,12,4,3,norte,4,Atacama,0.5,0,4,Ocupada(o),1,3,6,4,4,4,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,200,200,0,0,400,100,0,200,400,100,0,48,12.27,0.98,0,0,17.46,3.46,12.58,73.25,48,3.18,0.19,0.02,3.9,10.08,0.09,12.58,73.25,30.46,0,0.98,0.98,0,0,0,154.25094990500952,168,4.166666666666667,20.08624695500997,179.91375304499002,58.88,10.67,11.91,17.97,4.43,28.35,9.15,10.12,24.12,4.31
00001-1,00001-1-03,1,0,3,6,3,0,1,1,1,3,3,3,2,1,2,1,4,40,0,0,0,0,0,0,1,28,25-44,2,técnica,0,1,45,9,5,3,norte,4,Atacama,0.5,0,3,Ocupada(o),1,3,1,4,4,4,1,NA,2,1,1,1,2,2,NA,NA,NA,NA,NA,3,3,1,200,200,0,0,0,0,0,200,400,100,0,45,13.28,7.53,0.43,0,24.23,7.46,10.64,59.43,45,2.76,0.01,0,0.01,10.34,11.11,10.64,59.43,37.36,0,7.53,7.53,0,0,0,159.33425103073688,168,4.444444444444445,20.08624695500997,179.91375304499002,58.88,10.67,11.91,17.97,4.43,28.35,9.15,10.12,24.12,4.31
00002-1,00002-1-01,1,0,4,7,1,0,0,0,0,1,1,1,1,0,0,0,1,51,0,0,0,0,0,0,1,51,45-65,1,secundaria,0,1,45,9,5,1,norte,5,Coquimbo,0,0,3,Ocupada(o),1,3,3,3,NA,NA,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,45,21.51,0,0,0,23.56,3.63,9.99,64.31,45,7.75,0,0,0.1,9.87,5.84,9.99,64.31,40.39,0,0,0,0,0,0,152.7591633944954,168,0,-0,0,0,0,0,0,0,0,0,0,0,0
00004-1,00004-1-02,0,0,1,6,2,0,1,1,1,3,3,3,0,3,0,0,4,31,1,1,1,0,0,0,1,43,25-44,3,técnica,0,0,0,0,0,4,norte,3,Antofagasta,0,0,NA,Inactiva(o),NA,NA,NA,5,3,3,NA,NA,2,3,2,1,3,2,NA,NA,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,500,125,0,0,41.27,8.57,0,0,42.07,7.46,11.16,57.46999999999999,0,7.36,0.09,4.69,0.09,12.67,17.17,11.16,57.46999999999999,57.39,0,8.57,8.57,0,0,0,167.91589158915895,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00004-1,00004-1-04,0,0,1,6,3,0,1,1,1,3,3,3,0,3,0,0,4,31,0,0,0,0,0,0,0,14,12-24,3,primaria,1,0,0,0,0,4,norte,3,Antofagasta,0,0,NA,Menor de 15 años,NA,NA,NA,4,5,85,NA,1,3,85,2,1,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,500,125,0,0,6.16,0,0,0,99.62,3.33,6.7,52.18999999999999,0,32.24,35.2,0.54,0.05,29.95,1.63,6.7,52.18999999999999,9.49,0,0,0,0,0,0,168,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00006-1,00006-1-01,0,0,3,7,1,0,0,0,0,1,3,3,0,1,2,0,3,58.666666666666664,0,1,1,0,0,0,0,74,66+,2,secundaria,0,0,0,0,0,4,norte,5,Coquimbo,0.7236842105263158,0,NA,Inactiva(o),NA,NA,NA,4,4,85,NA,NA,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,137.5,380,190,63.333333333333336,275,412.5,570,155,2070000,0,4.31,0.17,0,0,33.4,15.98,16.88,97.25999999999999,0,12.09,0,12.94,5.49,2.88,0,16.88,97.25999999999999,21.03,0,0,0,0,0.17,0,167.42853333333332,168,NA,94.3944333582458,318.1055666417542,90.41,18.08,20.62,29.16,6.3,55.66,24.51,35.54,33.18,4.65
00006-1,00006-1-02,0,0,3,7,2,0,0,0,0,1,3,3,0,1,2,0,3,58.666666666666664,0,1,1,0,0,0,1,74,66+,2,secundaria,0,0,0,0,0,4,norte,5,Coquimbo,0.27631578947368424,0,NA,Inactiva(o),NA,NA,NA,4,4,85,NA,NA,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,52.5,0,0,0,105.00000000000001,157.5,570,98.33333333333333,210000,0,33.62,0,0,0,46.3,11.46,10.08,66.53999999999999,0,31.76,0,6.61,6.03,1.91,0,10.08,66.53999999999999,45.09,0,0,0,0,0,0,168,168,NA,36.041510918602945,121.45848908139706,34.52,6.9,7.87,11.13,2.41,21.25,9.36,13.57,12.67,1.77
00006-1,00006-1-03,0,0,3,7,4,0,0,0,0,1,3,3,0,1,2,1,3,58.666666666666664,0,0,0,0,0,0,0,28,25-44,2,universitaria,0,0,0,0,0,4,norte,5,Coquimbo,0,0,NA,Desocupada(o),NA,NA,NA,4,3,85,NA,NA,3,3,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,570,63.333333333333336,0,0,12.79,0,0,0,78.66,6.57,11.88,58.1,0,30.8,15.27,4.93,0.01,19.95,7.7,11.88,58.1,20.23,0,0,0,0,0,0,167.13062002534855,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00007-1,00007-1-01,1,1,2,7,1,0,1,1,1,3,3,3,3,1,0,0,4,33.25,1,1,1,0,0,0,0,50,45-65,1,primaria,0,1,60,10,6,3,norte,4,Atacama,0.3968253968253968,0,4,Ocupada(o),2,2,5,4,4,4,2,NA,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,1,125,125,0,0,315,78.75,0,125,315,78.75,0,60,1.04,0,0,0,31.41,4.43,8,63.12000000000001,60,10.18,0.08,0.32,0,9.76,11.07,8,63.12000000000001,10.03,0,0,0,0,0,0,163.44639215552527,168,2.0833333333333335,-7.7738699646021185,132.7738699646021,40.06,8.75,10.19,13.4,3.68,21.58,6.19,6.1,19.66,3.17
00007-1,00007-1-02,1,0,2,7,3,0,1,1,1,3,3,3,3,1,0,0,4,33.25,0,0,0,0,0,0,0,28,25-44,1,secundaria,0,1,50,10,5,3,norte,4,Atacama,0.47619047619047616,0,4,Ocupada(o),1,3,3,4,4,4,2,NA,2,85,2,1,2,85,NA,NA,NA,NA,NA,NA,NA,NA,150,150,0,0,0,0,0,150,315,78.75,0,50,2.91,0.16,0,0,52.11,5.01,5.85,51.96000000000001,50,14.37,2.01,0.16,1.12,12.67,21.78,5.85,51.96000000000001,11.98,0,0,0,0.16,0,0,164.10083784566328,168,3,-9.328643957522543,159.32864395752253,48.07,10.5,12.23,16.08,4.42,25.89,7.43,7.32,23.59,3.8
